Test	Confs. (features enabled)
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	COMPRESS, EXTRACT
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	CRC
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, COMPRESS
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, CRC
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, COMPRESS, EXTRACT
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	EXTRACT
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	COMPRESS
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, EXTRACT
tests.Addler32CheckSumTest.adler32Tests(Addler32CheckSumTest.java:34)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
